Term,Type,Ontology,Synonyms,Definition,GeneratedDefinition,Examples,Explanations,Maturity
ABA IIN Registry,NamedIndividual,US Regulatory Agencies Ontology,,"American Bankers Association (ABA) Issuer Identification Number (IIN) registry, a repository of institution characteristics for those that have assigned IINs, managed by the ABA",,,,release
ABA IIN registry entry,Class,US Regulatory Agencies Ontology,,"an entry in the ABA IIN registry, a repository of financial institution characteristics collected by the ABA for those institutions to which they issue IINs","It is a kind of registry entry. It applies to only financial institution, is included in resource that is ABA IIN Registry, comprises some issuer identification number.",,,release
ABA RTN Registry,NamedIndividual,US Regulatory Agencies Ontology,,"American Bankers Association (ABA) Routing Transit Number (RTN) registry, a repository of institution characteristics for those that have assigned RTNs, managed by the ABA's designated registration authority (RA)",,,,release
ABA RTN registry entry,Class,US Regulatory Agencies Ontology,,"an entry in the ABA RTN registry, a repository of financial institution characteristics collected by the ABA Registrar on behalf of the ABA","It is a kind of registry entry. It applies to only financial institution, comprises some routing transit number, is included in resource that is ABA RTN Registry.",,,release
ABA business entity identifier,NamedIndividual,US Regulatory Agencies Ontology,,Delaware Department of Corporations business entity identifier for the American Bankers Association (ABA),,,,release
ABA headquarters address,NamedIndividual,US Regulatory Agencies Ontology,,registered address identified as the headquarters address for the American Bankers Association (ABA),,,,release
ABANCA,NamedIndividual,Markets Individuals,,,,,,release
ABANCA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABBEY NATIONAL TREASURY SERVICES PLC - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ABBEY NATIONAL TREASURY SERVICES PLC - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABG SUNDAL COLLIER AB - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ABG SUNDAL COLLIER AB - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABG SUNDAL COLLIER ASA - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ABG SUNDAL COLLIER ASA - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABIDE FINANCIAL DRSP LIMITED APA,NamedIndividual,Markets Individuals,,,,,,release
ABIDE FINANCIAL DRSP LIMITED APA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABN AMRO BANK NV - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ABN AMRO BANK NV - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ABN AMRO CLEARING BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ABU DHABI SECURITIES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ABU DHABI SECURITIES EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ACE DERIVATIVES & COMMODITY EXCHANGE LTD,NamedIndividual,Markets Individuals,,,,,,release
ACE DERIVATIVES & COMMODITY EXCHANGE LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ACE MARKET,NamedIndividual,Markets Individuals,,,,,,release
ACE MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
"ACS EXECUTION SERVICES, LLC",NamedIndividual,Markets Individuals,,,,,,release
"ACS EXECUTION SERVICES, LLC operating-level market identifier",NamedIndividual,Markets Individuals,,,,,,release
ADB Unit of Account,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the ADB Unit of Account,,,,release
ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING,NamedIndividual,Markets Individuals,,,,,,release
ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AE,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,"US-specific code for the state designation for Armed Forces Europe, the Middle East, and Canada",,,,release
AEAD,NamedIndividual,Business Centers Individuals,,,,,,release
AED,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for UAE Dirham,,,,release
AED-EBOR-Reuters,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AED-EBOR-Reuters,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AEDU,NamedIndividual,Business Centers Individuals,,,,,,release
AFN,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Afghani,,,,release
AFRICAN STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
AFRICAN STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFRINEX LIMITED,NamedIndividual,Markets Individuals,,,,,,release
AFRINEX LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - BONDS,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - BONDS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - FX FORWARDS,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - FX FORWARDS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - INTEREST RATE DERIVATIVES,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - INTEREST RATE DERIVATIVES market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - STRUCTURED PRODUCTS,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF - STRUCTURED PRODUCTS market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS - OTF operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AFS E-VENUES B.V.,NamedIndividual,Markets Individuals,,,,,,release
AFS E-VENUES B.V. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AGRICULTURAL FUTURES EXCHANGE OF THAILAND,NamedIndividual,Markets Individuals,,,,,,release
AGRICULTURAL FUTURES EXCHANGE OF THAILAND operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AIAF - MERCADO DE RENTA FIJA,NamedIndividual,Markets Individuals,,,,,,release
AIAF - MERCADO DE RENTA FIJA market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AIM ITALIA - MERCATO ALTERNATIVO DEL CAPITALE,NamedIndividual,Markets Individuals,,,,,,release
AIM ITALIA - MERCATO ALTERNATIVO DEL CAPITALE market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AK,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Alaska,,,,release
AKIS - BANCA AKROS - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
AKIS - BANCA AKROS - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AKTIESELSKABET ARBEJDERNES LANDSBANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
AKTIESELSKABET ARBEJDERNES LANDSBANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AL,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Alabama,,,,release
ALBANIA SECURITIES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ALBANIA SECURITIES EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALGIERS STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ALGIERS STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALIOR BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ALIOR BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALL,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Lek,,,,release
ALLT - OTF,NamedIndividual,Markets Individuals,,,,,,release
ALLT - OTF operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALM. BRAND BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ALM. BRAND BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALPHA BANK - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ALPHA BANK - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALPHA EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ALPHA EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALT XCHANGE (U),NamedIndividual,Markets Individuals,,,,,,release
ALT XCHANGE (U) operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALTERNATIVA FRANCE,NamedIndividual,Markets Individuals,,,,,,release
ALTERNATIVA FRANCE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALTERNATIVE PLATFORM FOR SPANISH SECURITIES,NamedIndividual,Markets Individuals,,,,,,release
ALTERNATIVE PLATFORM FOR SPANISH SECURITIES operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ALTEX - ATS,NamedIndividual,Markets Individuals,,,,,,release
ALTEX - ATS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AMD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Armenian Dram,,,,release
AMMAN STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET,NamedIndividual,Markets Individuals,,,,,,release
AMMAN STOCK EXCHANGE - NON-LISTED SECURITIES MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AMMAN STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AMYE,NamedIndividual,Business Centers Individuals,,,,,,release
ANG,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Netherlands Antillean Guilder,,,,release
AOA,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Kwanza,,,,release
AOLU,NamedIndividual,Business Centers Individuals,,,,,,release
AP,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the state designation for Armed Forces Pacific,,,,release
APX POWER NL,NamedIndividual,Markets Individuals,,,,,,release
APX POWER NL operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
APX POWER UK,NamedIndividual,Markets Individuals,,,,,,release
APX POWER UK operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE GROWTH MARKET (EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE GROWTH MARKET (EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE GROWTH MARKET (NON-EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE GROWTH MARKET (NON-EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE MAIN MARKET (EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE MAIN MARKET (EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE MAIN MARKET (NON-EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE MAIN MARKET (NON-EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE TRADING (EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE TRADING (EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQSE TRADING (NON-EQUITY),NamedIndividual,Markets Individuals,,,,,,release
AQSE TRADING (NON-EQUITY) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUA EQUITIES L.P.,NamedIndividual,Markets Individuals,,,,,,release
AQUA EQUITIES L.P. operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD),NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE AUCTION ON DEMAND (AOD) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB),NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE NON DISPLAY ORDER BOOK (NDOB) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE EUROPE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC AQUIS - EIX INFRASTRUCTURE BOND MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD),NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC AUCTION ON DEMAND (AOD) market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS EXCHANGE PLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AQUIS STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
AQUIS STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AR,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for Arkansas,,,,release
ARABIAN BOURSE LIMITED,NamedIndividual,Markets Individuals,,,,,,release
ARABIAN BOURSE LIMITED operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARBA,NamedIndividual,Business Centers Individuals,,,,,,release
ARCA DARK,NamedIndividual,Markets Individuals,,,,,,release
ARCA DARK market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARCHAX,NamedIndividual,Markets Individuals,,,,,,release
ARCHAX operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
AREX - AUTOMATED RECEIVABLES EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
AREX - AUTOMATED RECEIVABLES EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARIAN TRADING FACILITY,NamedIndividual,Markets Individuals,,,,,,release
ARIAN TRADING FACILITY operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARITAS FINANCIAL LTD,NamedIndividual,Markets Individuals,,,,,,release
ARITAS FINANCIAL LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARITAS SECURITIES LLC,NamedIndividual,Markets Individuals,,,,,,release
ARITAS SECURITIES LLC operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARKONIS,NamedIndividual,Markets Individuals,,,,,,release
ARKONIS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARRACO GLOBAL MARKETS LTD,NamedIndividual,Markets Individuals,,,,,,release
ARRACO GLOBAL MARKETS LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARRACO IRELAND LTD,NamedIndividual,Markets Individuals,,,,,,release
ARRACO IRELAND LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ARS,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Argentine Peso,,,,release
AS,NamedIndividual,U.S. Postal Service Addresses Individuals Ontology,,US-specific code for the designation for American Samoa,,,,release
ASIA PACIFIC CLEAR,NamedIndividual,Markets Individuals,,,,,,release
ASIA PACIFIC CLEAR market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASIA PACIFIC EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ASIA PACIFIC EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASSENT ATS,NamedIndividual,Markets Individuals,,,,,,release
ASSENT ATS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASSET MATCH,NamedIndividual,Markets Individuals,,,,,,release
ASSET MATCH PRIVATE EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ASSET MATCH PRIVATE EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASSET MATCH operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASTANA INTERNATIONAL EXCHANGE LTD,NamedIndividual,Markets Individuals,,,,,,release
ASTANA INTERNATIONAL EXCHANGE LTD operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX - ALL MARKETS,NamedIndividual,Markets Individuals,,,,,,release
ASX - ALL MARKETS operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX - CENTRE POINT,NamedIndividual,Markets Individuals,,,,,,release
ASX - CENTRE POINT market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX - PUREMATCH,NamedIndividual,Markets Individuals,,,,,,release
ASX - PUREMATCH market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX - TRADE24,NamedIndividual,Markets Individuals,,,,,,release
ASX - TRADE24 market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX - VOLUMEMATCH,NamedIndividual,Markets Individuals,,,,,,release
ASX - VOLUMEMATCH market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX BOOKBUILD,NamedIndividual,Markets Individuals,,,,,,release
ASX BOOKBUILD market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ASX TRADEMATCH,NamedIndividual,Markets Individuals,,,,,,release
ASX TRADEMATCH market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATFUND MTF,NamedIndividual,Markets Individuals,,,,,,release
ATFUND MTF market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE - APA,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE - APA operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE ALTERNATIVE MARKET,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE ALTERNATIVE MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE S.A. CASH MARKET,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE S.A. CASH MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE S.A. DERIVATIVES MARKET,NamedIndividual,Markets Individuals,,,,,,release
ATHENS EXCHANGE S.A. DERIVATIVES MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHENS STOCK EXCHANGE,NamedIndividual,Markets Individuals,,,,,,release
ATHENS STOCK EXCHANGE operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATHLOS CAPITAL INVESTMENT SERVICES LTD - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ATHLOS CAPITAL INVESTMENT SERVICES LTD - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATLANTIC SECURITIES MARKET,NamedIndividual,Markets Individuals,,,,,,release
ATLANTIC SECURITIES MARKET market segment-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATONLINE LIMITED - SYSTEMATIC INTERNALISER,NamedIndividual,Markets Individuals,,,,,,release
ATONLINE LIMITED - SYSTEMATIC INTERNALISER operating-level market identifier,NamedIndividual,Markets Individuals,,,,,,release
ATVI,NamedIndividual,Business Centers Individuals,,,,,,release
AUAD,NamedIndividual,Business Centers Individuals,,,,,,release
AUBR,NamedIndividual,Business Centers Individuals,,,,,,release
AUCA,NamedIndividual,Business Centers Individuals,,,,,,release
AUD,NamedIndividual,ISO 4217-1 Currency Codes Ontology,,the currency identifier for Australian Dollar,,,,release
AUD-AONIA-OIS-COMPOUND,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-AONIA-OIS-COMPOUND,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-AONIA-OIS-COMPOUND-SwapMarker,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-AONIA-OIS-COMPOUND-SwapMarker,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-BBR-AUBBSW,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-BBR-AUBBSW,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-BBR-BBSW,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-BBR-BBSW,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-BBR-BBSW-Bloomberg,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-BBR-BBSW-Bloomberg,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-BBR-BBSY (BID),NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-BBR-BBSY (BID),,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-BBR-ISDC,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-BBR-ISDC,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-LIBOR-BBA,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-LIBOR-BBA,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-LIBOR-BBA-Bloomberg,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-LIBOR-BBA-Bloomberg,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-LIBOR-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-LIBOR-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Quarterly Swap Rate-ICAP,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Quarterly Swap Rate-ICAP,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Quarterly Swap Rate-ICAP-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Quarterly Swap Rate-ICAP-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Semi-Annual Swap Rate-11:00-BGCANTOR,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Semi-Annual Swap Rate-11:00-BGCANTOR,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Semi-Annual Swap Rate-BGCANTOR-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Semi-Annual Swap Rate-BGCANTOR-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Semi-Annual Swap Rate-ICAP-Reference Banks,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Semi-Annual Swap Rate-ICAP-Reference Banks,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Semi-annual Swap Rate-ICAP,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Semi-annual Swap Rate-ICAP,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
AUD-Swap Rate-Reuters,NamedIndividual,Common Interest Rates Ontology,,the FpML floating interest index for the AUD-Swap Rate-Reuters,,,"Per 2006 ISDA Definitions or Annex to the 2000 ISDA Definitions, Section 7.1 Rate Options, as amended and supplemented through the date on which parties enter into the relevant transaction.",release
